Number of Rows (Aggregated),avg_age,age_stddev,CODED_PARTY_AFFILIATION,CITY,Score,General,Primary,Special
42,47.928571429,19.174923738,-0.214285714,CHESAPEAKE,0.121215153,0.235634921,0.046938776,0
33,55.030303030,16.563296865,-0.151515152,MILLBURY,0.197365680,0.368430458,0.087445887,0.107142857
8,61,12.142016778,-0.125,BLUE CREEK,0.25390625,0.475,0.125000000,0
15,53.6,23.120182896,0.266666667,N BLOOMFIELD,0.255174188,0.477380952,0.116001221,0.068181818
16,49.6875,19.496046608,-0.5,SEAMAN,0.228157222,0.415211368,0.115376673,0
12,44.166666667,20.639033334,-0.166666667,SHILOH,0.284540720,0.446666667,0.103896104,0.125
266,49.251879699,19.888189731,-0.022556391,FAIRVIEW PARK,0.176585827,0.329441160,0.071992538,0.074171030
3,77,17.578395831,-1,MACKSBURG,0.359375,0.666666667,0.180952381,0
9,39.555555556,21.772178986,-0.222222222,SPENCERVILLE,0.232535121,0.386807760,0.111507937,0.0625
110,51.890909091,19.328804125,-0.081818182,GENEVA,0.204627831,0.360215620,0.107690734,0.060240964
9,43.888888889,19.029217302,-0.333333333,LEWISTOWN,0.231930231,0.455696649,0.074882422,0
81,51.395061728,20.229112074,0.370370370,YELLOW SPRINGS,0.220125082,0.378982107,0.110719874,0.008196721
1,62,,0,TARLTON,0.203125,0.4,0.085714286,0
24,48.166666667,16.372476020,-0.083333333,HUNTING VALLEY,0.166728997,0.287619048,0.052192735,0
11,51.818181818,20.336264071,-0.454545455,DANVILLE,0.231912879,0.399393939,0.129004329,0
2,62.5,6.363961031,1,MARK CENTER,0.234375,0.48,0.085714286,0
235,41.782978723,20.140312502,0.042553191,GRANVILLE,0.221338568,0.376078951,0.087324414,0.058712121
23,48.391304348,19.782313337,-0.217391304,MILAN,0.278456119,0.478985362,0.161246000,0.015625
491,46.503054990,18.610768521,-0.150712831,NEWARK,0.176513422,0.311894078,0.076729920,0.043128655
293,49.344709898,19.249104614,0.129692833,BROOK PARK,0.158600531,0.288447711,0.072572033,0.042424242
32,52,18.388285191,-0.3125,LOWELL,0.214736381,0.416344697,0.092351153,0
1,59,,-1,GETTYSBURG,0.328125,0.56,0.2,0
7,41.857142857,18.243067829,-0.142857143,DORSET,0.154336735,0.315714286,0.044897959,0
7,61.428571429,20.452034478,-0.142857143,KANSAS,0.160443723,0.324835165,0.061224490,0
2912,43.565590659,16.665392428,0.050824176,REYNOLDSBURG,0.062795142,0.123963082,0.014016367,0.003950244
1,31,,0,BRINKHAVEN,0.065217391,0.166666667,0,
754,48.429708223,18.150206045,-0.027851459,HUBER HEIGHTS,0.119353905,0.233288513,0.037319947,0.028571429
20,54.2,20.679509309,-0.2,ROCKFORD,0.259184028,0.459326923,0.135966387,0.083333333
2,53.5,17.677669530,0.5,HAMMONDSVILLE,0.171875,0.28,0.114285714,0
12,49.916666667,13.297014930,0,WOODMERE,0.172916667,0.324545455,0.080952381,0
127,50.078740157,19.706419186,-0.031496063,E LIVERPOOL,0.167990845,0.313512186,0.067976634,0.023684211
17810,41.756934307,17.080593904,0.122852330,COLUMBUS,0.105086270,0.200753018,0.033270607,0.009934893
2,49.5,7.778174593,0,AMESVILLE,0.0078125,0.02,0,0
101,49.495049505,17.958075488,-0.029702970,KIRTLAND,0.217791819,0.363314377,0.123552577,0.160173160
61,52.344262295,17.363645207,0.180327869,CLAYTON,0.200088356,0.365885800,0.080316818,0.044117647
824,47.845873786,16.520300335,0.008495146,HUDSON,0.150563523,0.278585589,0.056633331,0.020769231
3,24.666666667,5.859465277,0.333333333,DEGRAFF,0.723616474,0.456349206,0.021739130,
1,89,,0,MT ST JOSEPH,0.171875,0.32,0.085714286,0
8,54.125,22.041762310,-0.375,FREEPORT,0.384373141,0.4025,0.053901561,0
16,53.25,13.010252368,-0.5625,LORE CITY,0.276944875,0.513695652,0.137608225,0.015625
43,39.441860465,17.696249704,-0.162790698,CEDARVILLE,0.121532405,0.251470881,0.028982499,0
12,44.916666667,19.185497995,0.166666667,PEDRO,0.179625939,0.397759662,0.038095238,0
861,45.764227642,17.563940935,-0.012775842,PERRYSBURG,0.125870759,0.243924957,0.041244363,0.005307856
48,57.1875,20.468612453,0.375,BRATENAHL,0.173474216,0.346055427,0.064990643,0
5,42.8,29.969984985,0.2,DUNCAN FALLS,0.304375,0.405333333,0.037012987,0
7,42.428571429,14.057704209,-0.428571429,OHIO CITY,0.195767196,0.387142857,0.061224490,0
12,55.5,17.531789309,-0.583333333,MALTA,0.244910038,0.430793651,0.139880952,0
62,52.564516129,17.000116651,-0.290322581,GOSHEN,0.181331464,0.363135914,0.065472366,0.019230769
13,45.538461538,19.674922213,-0.384615385,WEST MANCHESTER,0.157014860,0.28,0.078754579,0.083333333
8,51.75,13.424391447,-0.125,SOUTH SALEM,0.153680099,0.323928571,0.042857143,0.071428571
9,44.333333333,20.898564544,0.333333333,LONDONDERRY,0.219955107,0.404682355,0.095222431,0.2
94,57.319148936,18.332187315,0.021276596,GATES MILLS,0.179953030,0.337336085,0.084610592,0
55,49.654545455,19.638603501,-0.127272727,MILLERSBURG,0.186628267,0.347470490,0.061174968,0.073170732
24,43.125,16.111871130,-0.333333333,VINCENT,0.262341284,0.325158011,0.076016467,0
40,48.075,18.856254488,0.1,BRIDGEPORT,0.139514506,0.267627056,0.060981380,0.008928571
5,59.4,20.501219476,-0.4,DUNDEE,0.316,0.564363636,0.165714286,0.0625
56,51.392857143,16.847636545,-0.232142857,CALDWELL,0.264815023,0.459160608,0.136420186,0
17,46.823529412,20.168773184,0,MILFORD CENTER,0.237193627,0.409914748,0.121156698,0.057692308
7,44,24.610295948,-0.285714286,THURMAN,0.169701816,0.328598901,0.060997732,0
157,49.356687898,18.362452192,-0.076433121,CIRCLEVILLE,0.187524448,0.323188225,0.091169712,0.060924370
103,45.621359223,15.412699440,0,SOUTH LEBANON,0.094075381,0.193468879,0.027492375,0.015243902
2,28.5,0.707106781,0,CONESVILLE,0.031818182,0.076923077,0,
25,49.24,17.616942603,-0.04,SOUTHINGTON,0.229098121,0.423266667,0.107333333,0.026315789
16,57.3125,15.772206567,-0.1875,HUNTSVILLE,0.225585938,0.452115385,0.083928572,0.053571429
9,60.666666667,24.677925359,-0.555555556,CRIDERSVILLE,0.198163803,0.371997354,0.090158730,0.0625
16,54.75,17.830685162,-0.0625,CHIPPEWA LAKE,0.272888826,0.456466557,0.151179316,0.25
20,49.6,21.112231426,-0.1,OAK HILL,0.142944601,0.297385281,0.042142857,0
15,47.733333333,18.979186595,0,WOODSFIELD,0.220523291,0.411878788,0.084502165,0.121794872
14,42.571428571,18.927856093,0.142857143,KINGS MILLS,0.240474496,0.350714286,0.090870668,0.03125
17,39.647058824,11.842408837,0.058823529,REMINDERVILLE,0.050677079,0.116857361,0.008988374,0
2,69,16.970562748,-0.5,BOWERSVILLE,0.109375,0.22,0.028571428,0.125
2,60.5,20.506096654,-0.5,HARRISBURG,0.3125,0.48,0.214285715,0.125
9,56.333333333,10.246950766,-0.555555556,NORTH FAIRFIELD,0.271306818,0.480211640,0.153571429,0
1,30,,-1,WATERLOO,0.268292683,0.5,0.12,
1,79,,1,SOUTH BLOOMINGVILLE,0.171875,0.4,0.028571429,0
6,63.5,7.529940239,0,FORT RECOVERY,0.315104167,0.586666667,0.157142857,0
4,46.5,12.476644848,0,E FULTONHAM,0.0390625,0.1,0,0
3,73,19,0.333333333,SHADE,0.3125,0.533333333,0.190476190,0
5,49.8,19.942417105,-0.4,ALVORDTON,0.205256098,0.371181818,0.097142857,0.166666667
2411,48.523434260,18.309413333,-0.017005392,CENTERVILLE,0.148441732,0.278894501,0.050908031,0.013628855
8,48.75,27.048897522,0,PETERSBURG,0.280730221,0.487386364,0.159204371,0
4,49,16.911534525,-0.25,HANGING ROCK,0.198035038,0.456153846,0.035714286,0
8,47.5,18.547236991,0.125,NEW KNOXVILLE,0.145627593,0.284757085,0.056527094,0.041666667
42,47.5,14.690713841,-0.047619048,TERRACE PARK,0.167864396,0.337330749,0.064157049,0.006578947
53,49.320754717,17.355750083,-0.018867925,SEVILLE,0.211882756,0.372437488,0.100253342,0.121794872
1,51,,0,FULTON,0.015625,0.04,0,0
59,44.881355932,17.588284449,-0.271186441,MOUNT ORAB,0.158376504,0.301036917,0.051921182,0.018292683
499,48.525050100,18.652521007,0.094188377,BOARDMAN,0.143500323,0.262441614,0.064284656,0.006048387
387,49.868217054,19.112855389,0.059431525,PARMA HTS,0.132840717,0.235951659,0.068075274,0.033687943
5837,45.449546000,16.502302118,0.059790989,DUBLIN,0.129028501,0.247893890,0.030698429,0.004917843
1883,46.514073287,16.926552236,0.119490175,SOLON,0.136981813,0.240611722,0.050757046,0.002454418
80,50.75,18.642200663,-0.0875,WINTERSVILLE,0.165575143,0.301605613,0.078467346,0.068965517
122,49.147540984,19.922441406,-0.090163934,HILLSBORO,0.151681758,0.268194138,0.060761177,0.005747126
27,48.555555556,18.009256879,-0.259259259,CURTICE,0.190911542,0.366741623,0.076575277,0
17,53.235294118,16.902401500,-0.529411765,MONTVILLE,0.226386493,0.432561589,0.104300544,0
2,66.5,27.577164466,0,MAYNARD,0.2109375,0.38,0.1,0.125
2,73.5,19.091883092,-1,LAFAYETTE,0.3984375,0.66,0.257142857,0
69,49.289855072,18.635908925,0.057971014,MENTOR ON THE LAKE,0.161707296,0.300508196,0.061945081,0.014423077
18,23,1.909727421,0.111111111,WILBERFORCE,0.072329971,0.137323633,0.012820513,
19,44.368421053,18.797785113,0.105263158,KINGSTON,0.263637318,0.436451842,0.094849026,0.153846154
15,44.066666667,18.218776291,0.266666667,LOCKBOURNE,0.162092826,0.323435473,0.061415816,0.022727273
19,46.894736842,19.110482106,-0.052631579,RIPLEY,0.123983542,0.242083998,0.046798029,0.041666667
12,45.166666667,13.422053314,-0.333333333,ST LOUISVILLE,0.245847843,0.421964286,0.146428571,0.025
13,48.769230769,12.852715966,-0.307692308,WEST PORTSMOUTH,0.122017931,0.242580029,0.050614092,0
5,35,11.958260743,-0.4,NEW BAVARIA,0.389849291,0.526385965,0.135714286,0.125
245,49.8,19.701377167,-0.240816327,TIFFIN,0.213535230,0.366030903,0.103588419,0.090355805
2,48,22.627416998,-0.5,CHESHIRE,0.1171875,0.22,0.057142857,0
2,80,11.313708499,-0.5,ZALESKI,0.2109375,0.42,0.085714286,0
312,44.320512821,18.902521031,0.173076923,SOUTH EUCLID,0.150660439,0.273847435,0.058410907,0
6,49.5,22.915060550,-0.166666667,STERLING,0.185185185,0.353333333,0.071428571,0.0625
45,54.866666667,19.637163283,0.2,LOWELLVILLE,0.288994689,0.533470435,0.142878124,0
42,58.952380952,19.001864326,-0.214285714,E PALESTINE,0.133940572,0.258896188,0.057823129,0.012820513
2,71,24.041630560,-0.5,SEVEN MILE,0.2421875,0.36,0.171428571,0.125
86,43.627906977,18.432098927,-0.069767442,BELLEVUE,0.189843451,0.344190433,0.069969519,0.1
5,59.6,25.205158202,-0.6,BURGOON,0.211764706,0.457,0.057142857,0
42,46.380952381,18.766800448,-0.261904762,DELPHOS,0.181325900,0.312624941,0.077684588,0
4,34.25,13.696106503,0,ADDYSTON,0.1875,0.39,0.014285714,0
1,63,,0,LIBERTY TOWNSHIP,0.203125,0.48,0.028571429,0
84,44.785714286,18.285599989,-0.238095238,IRONTON,0.220912403,0.397060243,0.085415121,0.090909091
366,38.948087432,19.714122166,0.136612022,OXFORD,0.155706747,0.266696274,0.044775175,0.008982036
243,46.543209877,19.090941158,-0.020576132,WEST CARROLLTON,0.127135642,0.237899442,0.051477339,0.032934132
5,43.8,12.696456198,-0.6,PHILLIPSBURG,0.129166667,0.208064777,0.082105263,0
34,51.029411765,16.087799432,-0.235294118,MT STERLING,0.175990327,0.308441134,0.069171422,0.008620690
26,51.769230769,20.476928856,0.192307692,NORTH JACKSON,0.178863190,0.319664066,0.092572134,0
86,53.058139535,19.832447953,-0.139534884,UPPER SANDUSKY,0.192610813,0.350837009,0.096480135,0.011194030
2,49,1.414213562,-0.5,DOLA,0.0625,0.14,0.014285714,0
1,51,,0,IRONDALE,0.015625,0.04,0,0
39,46.538461538,17.120080782,-0.435897436,AMANDA,0.176287430,0.330570351,0.073175681,0.064814815
452,47.013274336,16.388162969,-0.081858407,XENIA,0.153412762,0.282017842,0.072326854,0.018063584
2,44,4.242640687,0.5,JERUSALEM,0.140625,0.26,0.057142857,0.125
1,34,,0,ROCKY RIDGE,0.037037037,0.1,0,0
4,38.5,14.708274315,0.25,NEFFS,0.077651515,0.119230769,0.055357143,0
1,36,,0,NEW HAMPSHIRE,0.06779661,0.130434783,0.03030303,0
10,51.4,15.457468529,-0.1,PARIS,0.339653610,0.562944445,0.195928190,0.148148148
27,54.222222222,19.692508012,0.185185185,ELMORE,0.265334422,0.476812570,0.130383511,0.056818182
102,26.460784314,12.251224686,0.137254902,GAMBIER,0.247350629,0.342139603,0.071678409,0.053571429
21,46.285714286,19.066050606,-0.285714286,LEESBURG,0.258424996,0.447614870,0.098620690,0.033333333
3,49,12.124355653,0,DEXTER CITY,0.229071970,0.479365079,0.077083333,0
8,57.125,16.146096388,-0.125,S AMHERST,0.21875,0.39,0.110714286,0.107142857
35,45.685714286,17.845367546,-0.171428571,NEWCOMERSTOWN,0.183993581,0.362183944,0.055799202,0.079545455
10,50.8,15.105554534,-0.5,BEACH CITY,0.292778540,0.531769231,0.151428571,0.03125
9,39.666666667,16.955824958,-0.111111111,VAN BUREN,0.124195871,0.236865079,0.044329004,0
177,51.124293785,18.658909878,-0.152542373,SALEM,0.206229562,0.381822967,0.087632535,0.012681159
29,56.413793103,17.019982460,0.137931034,BERLIN CENTER,0.256494204,0.468807170,0.130142945,0.019230769
9,44.444444444,19.831232382,-0.111111111,SARAHSVILLE,0.123857283,0.237466069,0.045010327,0.041666667
16,52.5,20.119642144,0.1875,MCDERMOTT,0.313092607,0.534232955,0.120761905,0
95,50.294736842,19.508249038,-0.136842105,NEW CARLISLE,0.193662325,0.344069722,0.093709374,0.100694444
45,51.4,19.049457162,0.022222222,CADIZ,0.204102998,0.314661468,0.079269294,0.022727273
166,52,19.230972493,0.132530120,GIRARD,0.199020501,0.347384838,0.104178927,0.084645669
16,49.25,19.244046698,0.125,NORTH LAWRENCE,0.206975446,0.423766234,0.055357143,0.020833333
7,60.857142857,21.074697083,0,DE GRAFF,0.217113095,0.426122449,0.081632653,0.083333333
2,73.5,0.707106781,0,MARTINSBURG,0.0546875,0.1,0.028571428,0
38,43.973684211,18.994290525,-0.157894737,FREDERICKTOWN,0.157270499,0.280255439,0.050139384,0.01
65,43.384615385,18.032689334,-0.123076923,BROOKVILLE,0.201017694,0.332352397,0.092280333,0.030487805
148,50.047297297,19.737506842,0.047297297,VANDALIA,0.168590878,0.312936669,0.058438552,0.022522523
520,47.203846154,18.474811906,0.028846154,MAUMEE,0.153903432,0.295189673,0.047965538,0.012532982
16,53.375,18.931015116,-0.4375,OKEANA,0.180860459,0.331993787,0.089285714,0.041666667
3,45.666666667,21.221058723,0,LANGSVILLE,0.120330460,0.281818182,0.009523810,0.125
268,51.201492537,19.507716653,0.022388060,RAVENNA,0.198651340,0.355388101,0.084057139,0.157582938
17,45.176470588,17.959103869,-0.117647059,PLEASANT CITY,0.293933985,0.512759953,0.160033090,0.0625
45,55.088888889,17.409274203,0.066666667,GLOUSTER,0.193109962,0.362306397,0.087152838,0.0375
297,45.952861953,16.914464870,-0.033670034,BATAVIA,0.123594889,0.239953319,0.045475043,0.014823718
4,55.5,14.083086783,0,CUTLER,0.188616071,0.331904762,0.107575758,0
9,48,18.445866746,-0.222222222,SALINEVILLE,0.176866320,0.350625,0.071428571,0
2,54,22.627416998,0.5,WILMOT,0.133060516,0.24,0.071428571,0
62,45.080645161,15.881010815,0,UNION,0.128279256,0.248665107,0.050435570,0.027173913
3,52.666666667,15.885003410,-0.333333333,CLARKSBURG,0.0625,0.146666667,0.009523810,0
4,51.25,26.849891372,-0.75,SALESVILLE,0.356097342,0.637179487,0.179411765,0
159,47.377358491,16.381016817,0.226415094,ORANGE,0.154200044,0.281590378,0.056242438,0.001893939
5,37.8,12.275992832,0.2,KIMBOLTON,0.130615602,0.242793651,0.062857143,0
1,70,,1,LAKELINE,0.3125,0.56,0.171428571,0
13,45.384615385,14.546124693,0,TIMBERLAKE,0.234614145,0.445052842,0.089926740,0.138888889
295,49.949152542,19.000021240,-0.332203390,CHARDON,0.240518386,0.438104192,0.110570452,0.008771930
21,45.666666667,16.826566297,-0.285714286,HAMERSVILLE,0.194499321,0.378073900,0.077777778,0.033333333
27,43.740740741,18.649793962,-0.148148148,SOMERSET,0.101360925,0.213129898,0.025948930,0.014705882
156,47.557692308,18.378191980,-0.070512821,PORTSMOUTH,0.125331358,0.225485853,0.045426483,0.011363636
16,48.9375,18.702829554,-0.25,GLENFORD,0.243841893,0.410226024,0.084523810,0
7,65.857142857,11.216484467,0.714285714,FOWLER,0.203125,0.371428571,0.106122449,0
3,29.333333333,9.073771726,-0.333333333,SUMMERFIELD,0.094328704,0.2,0.009523810,0
34,50.529411765,19.929018425,-0.235294118,WEST JEFFERSON,0.187943820,0.358284314,0.083799764,0.010416667
10,40,10.413666235,0.3,TILTONSVILLE,0.1493125,0.296565657,0.052857143,0.035714286
3,54.666666667,9.291573243,-0.333333333,LOWER SALEM,0.151041667,0.36,0.019047619,0
43,54.255813953,32.399362886,0,BELLVILLE,0.191366199,0.381004838,0.069281715,0.030303030
36,50.5,19.139338696,-0.416666667,SUGARCREEK,0.259817674,0.468067981,0.132106782,0.043103448
2,30.5,3.535533906,0,WOODSTOCK,0,0,0,0
490,50.112244898,17.660674980,-0.018367347,N RIDGEVILLE,0.153025831,0.287840656,0.065342238,0.06125
20,46.65,17.723831711,-0.2,BEVERLY,0.219139881,0.406088745,0.101428571,0
2,47,38.183766184,0.5,ELDORADO,0.3578125,0.67,0.157142857,0.25
22,57.045454545,17.645928365,0,W FARMINGTON,0.253951647,0.467762238,0.112987013,0.078947368
1,52,,-1,HARPSTER,0.390625,0.72,0.2,0
402,49.962686567,18.033803138,0.012437811,AVON LAKE,0.155446840,0.289920732,0.065572745,0.046410256
109,42.990825688,16.986648032,0.229357798,WARRENSVILLE HTS,0.124820602,0.251244931,0.041848876,0.003571429
120,50.5,19.478926342,-0.2,GALLIPOLIS,0.163443398,0.302353062,0.054743191,0
3,50,16.522711642,0,PUT-IN-BAY,0.197916667,0.386666667,0.085714286,0
4407,44.896528251,18.130114392,0.108690719,AKRON,0.102705365,0.195942394,0.038149510,0.018810883
6,55.666666667,18.062853226,-0.333333333,EAST LIBERTY,0.147569445,0.313333333,0.042857143,0
1,61,,0,AVA,0.015625,0.04,0,0
33,49.121212121,17.912561193,-0.515151515,CHANDLERSVILLE,0.302115808,0.588567493,0.119434683,0.01
44,52.386363636,17.588600840,-0.159090909,PAULDING,0.227365106,0.435388643,0.099783550,0.006756757
50,57.9,16.496443649,0.22,NEW MIDDLETOWN,0.282822249,0.497739181,0.157149612,0.017045455
1,42,,0,MT EATON,0,0,0,0
18,51.111111111,16.708183584,-0.388888889,LAURELVILLE,0.224119212,0.414584378,0.104137931,0.057692308
1,68,,-1,NORTH STAR,0.515625,0.84,0.285714286,0.5
9,48.333333333,19.602295784,-0.111111111,JUNCTION CITY,0.098958333,0.164444444,0.053968254,0.125
2,35.5,21.920310217,-0.5,COLLINSVILLE,0.209375,0.45,0.057142857,0
491,48.965376782,18.946563492,0.124236253,LORAIN,0.168833431,0.285707342,0.079194257,0.097677596
564,50.296099291,19.604325447,-0.056737589,KETTERING,0.174523292,0.320683690,0.073542581,0.028985507
1,63,,-1,KIPTON,0.421875,0.64,0.285714286,0.25
452,32.075221239,16.957847994,0.305309735,OBERLIN,0.203003275,0.313877229,0.079431834,0.067982456
12,51.5,19.970432690,-0.333333333,MIDDLEPORT,0.270610119,0.472643468,0.143145743,0.111111111
13,45.307692308,20.564470231,0.153846154,POWHATAN POINT,0.101360279,0.229836932,0.019844861,0
454,50.854625551,17.712095697,-0.004405286,HIGHLAND HTS,0.134012196,0.266151482,0.041839858,0.000672043
1,21,,0,COVENTRY TOWNSHIP,0,0,0,
14,46.714285714,18.619380191,-0.285714286,EDGERTON,0.183456003,0.368063813,0.066548358,0.027777778
49,45.612244898,21.903021411,0.163265306,HIRAM,0.296710843,0.470728200,0.134210008,0.305555556
2528,45.974287975,16.797748553,0.047072785,WESTERVILLE,0.150082916,0.287046172,0.051581761,0.026058486
26,51.384615385,20.867346593,-0.307692308,WINDHAM,0.201220057,0.377430756,0.087912088,0.0875
1216,45.341282895,16.641248954,-0.003289474,DELAWARE,0.137828473,0.254088525,0.049138420,0.018886502
2,43.5,2.121320344,0,WILLISTON,0.3515625,0.6,0.214285715,0
55,54.418181818,19.919923870,-0.254545455,OTTAWA,0.217842001,0.397850477,0.107143268,0.043478261
20,51.5,19.113235976,-0.25,NEW PARIS,0.153849882,0.292044372,0.058791937,0.132352941
243,46.658436214,19.069972308,0.222222222,MAPLE HTS,0.147300566,0.272920928,0.064326093,0.004285714
6,56.333333333,16.573070526,-0.166666667,BRICE,0.174479167,0.326666667,0.085714286,0
2,36.5,7.778174593,0,TRINWAY,0.03125,0.08,0,0
86,46.825581395,18.830633278,-0.139534884,EATON,0.156533543,0.299659048,0.064597962,0.020161290
10,58.2,17.453430099,0.1,SUGAR GROVE,0.254464286,0.445,0.14,0.055555556
180,49.722222222,18.585467848,-0.177777778,PIQUA,0.176779860,0.323720535,0.077123464,0.056763285
21,51.857142857,19.736478192,0.047619048,WAYNESBURG,0.192208649,0.387052154,0.062925170,0.03125
2,23.5,6.363961031,0,RUSSIA,0.266129032,0.538461539,0,
28,55.607142857,14.234385300,0,KINSMAN,0.182203619,0.349904306,0.081972789,0
16,56.1875,14.325821675,-0.5625,WARSAW,0.183007813,0.340869565,0.091176471,0
36,48.111111111,20.119326569,0.138888889,CAMDEN,0.182063941,0.359258489,0.069663194,0.02
1,22,,0,MILLEDGEVILLE,0,0,0,
17,49.294117647,23.456781285,-0.352941176,BETHESDA,0.172598115,0.329297386,0.076657529,0
33,48.151515152,18.858223028,-0.212121212,SPENCER,0.256377201,0.386782107,0.142710365,0.211805556
12,51.416666667,20.029334548,-0.416666667,RUSSELLS POINT,0.165364583,0.273333333,0.102380952,0.055555556
854,47.086651054,17.744162979,0.019906323,SYLVANIA,0.131673753,0.256231106,0.039160454,0.003328009
22,54.409090909,25.837696880,-0.090909091,ORWELL,0.329638720,0.537327804,0.204537448,0.115384615
38,54.552631579,18.790016568,-0.131578947,ENON,0.203116995,0.363535828,0.101337904,0.0546875
4,34.75,16.680827318,0,DUNKIRK,0.069010417,0.144583333,0,0
5,58.2,24.376217918,-0.2,NOVA,0.198056093,0.362793651,0.097678571,0.0625
8,57.875,16.548090093,-0.375,BLAKESLEE,0.357793899,0.665,0.178781513,0
18,41.5,14.130692502,-0.111111111,ALEXANDRIA,0.242857496,0.410811966,0.138741759,0.020833333
438,50.470319635,17.790357746,0.130136986,PEPPER PIKE,0.145161450,0.276053190,0.050284020,0.000677507
454,51.385462555,19.141943593,0.008810573,BEAVERCREEK,0.171416432,0.308050179,0.070371054,0.031455399
4,41.25,6.184658438,-0.75,MT CORY,0.191675647,0.414545454,0.058008658,0
1,28,,0,GRATIS,0.034482759,0.083333333,0,
26,53.769230769,17.842214419,-0.076923077,MILLERSPORT,0.250537583,0.419912008,0.141248947,0.141304348
3,35.666666667,22.810816148,0,JACKSONTOWN,0.142654221,0.300952381,0.028571429,0
244,42.352459016,15.373764265,-0.040983607,MONROE,0.105505173,0.204545091,0.026097716,0.025714286
940,45.836170213,16.760378827,0.051063830,TWINSBURG,0.131645023,0.240407464,0.034088680,0.019705603
