population,avg_age,CODED_PARTY_AFFILIATION,age_stddev,RESIDENTIAL_ZIP,Score,General,Primary,Special
506,47.893280632,-0.019762846,18.389635326,45440,0.157360733,0.282656666,0.071150471,0.035112360
38,43.973684211,-0.157894737,18.994290525,43019,0.157270499,0.280255439,0.050139384,0.01
107,48.495327103,-0.102803738,16.518927870,45068,0.179252526,0.338872583,0.069797228,0.074712644
301,50.212624585,-0.342192691,19.010557771,44024,0.241928937,0.440976977,0.111435012,0.008583691
395,45.405063291,0.050632911,17.389330257,45211,0.130066168,0.267006570,0.037012135,0.017835178
20,49.6,-0.1,21.112231426,45656,0.142944601,0.297385281,0.042142857,0
79,50.481012658,-0.050632911,18.534694259,45885,0.178901259,0.318501354,0.089194722,0.033333333
1,31,0,,45378,0.11627907,0.235294118,0.038461538,
408,45.544117647,0.205882353,17.851641256,43209,0.170339918,0.313882587,0.064026727,0.022260274
872,43.157110092,0.209862385,17.155447730,44107,0.141165396,0.253517314,0.061964814,0.004159239
21,47.761904762,-0.047619048,20.354126761,43845,0.198934837,0.342433862,0.111564626,0.016666667
152,51.631578947,-0.157894737,20.956177616,45233,0.253748502,0.478003559,0.094754491,0.015625
372,44.827956989,0.177419355,18.776669389,43606,0.157172398,0.272422652,0.052466920,0.024801587
329,51.161094225,0.091185410,19.339904249,44203,0.182637678,0.327311157,0.080292636,0.137159533
80,53.9,-0.3125,17.126188400,43105,0.239556737,0.432007096,0.120631267,0.072463768
860,46.003488372,-0.019767442,17.852356243,45431,0.110205322,0.204357910,0.040079939,0.012437811
10,35.8,-0.1,16.477594215,45832,0.117151532,0.234835310,0.050632701,0
186,42.505376344,0.102150538,16.508555460,44301,0.098480351,0.191566497,0.030644384,0.020114943
5,59.6,-0.6,25.205158202,43407,0.211764706,0.457,0.057142857,0
9,48.333333333,-0.111111111,19.602295784,43748,0.098958333,0.164444444,0.053968254,0.125
170,50.229411765,-0.123529412,19.806467915,44057,0.212974630,0.368809364,0.100395354,0.173441734
1,59,-1,,45328,0.328125,0.56,0.2,0
463,48.799136069,-0.034557235,18.864309257,44646,0.185972837,0.328649637,0.076297097,0.046597633
96,43.4375,0.010416667,13.827366077,44264,0.134363866,0.262899251,0.047374440,0.023504274
14,64.071428571,-0.071428571,18.561599258,44695,0.397321429,0.548571429,0.129670330,0.038461538
3,32.666666667,0.333333333,8.386497084,44506,0.1,0.15942029,0.068627451,0
8,37.875,-0.25,14.923016738,43341,0.230282738,0.438125,0.095467033,0.0625
810,43.806172840,0.1,16.414462296,43231,0.072231281,0.140804085,0.021210849,0.007785467
7,35.142857143,0.142857143,7.537209285,45867,0.185431911,0.338285893,0.097583841,0
297,47.323232323,0.084175084,19.273368555,44125,0.145091478,0.277091116,0.057606507,0.001196172
8,42.625,0.125,17.054010840,45153,0.190585095,0.329096320,0.102455357,0
32,53.5625,-0.28125,15.951413124,44824,0.289689851,0.504944196,0.129604322,0.074074074
2,53.5,0.5,17.677669530,43930,0.171875,0.28,0.114285714,0
442,51.662895928,0.009049774,19.104366153,45434,0.172028407,0.310698761,0.071434491,0.031996180
722,49.074792244,0.036011080,18.082487878,44147,0.154497499,0.273028623,0.063679281,0.002220249
9,44.444444444,-0.111111111,19.831232382,43779,0.123857283,0.237466069,0.045010327,0.041666667
2,73.5,0,0.707106781,43037,0.0546875,0.1,0.028571428,0
86,53.058139535,-0.139534884,19.832447953,43351,0.192610813,0.350837009,0.096480135,0.011194030
52,48.75,0.038461538,17.023484356,43076,0.174615969,0.326589534,0.056990069,0.029069767
72,51.333333333,0,21.108038653,44230,0.240356583,0.427896860,0.090977305,0.098214286
9,39.666666667,-0.111111111,16.955824958,45889,0.124195871,0.236865079,0.044329004,0
940,45.836170213,0.051063830,16.760378827,44087,0.131645023,0.240407464,0.034088680,0.019705603
1,27,0,,43722,0,0,0,
13,46.692307692,-0.461538462,19.357963974,44867,0.248841783,0.457236097,0.094505495,0.21875
172,46.965116279,0.267441860,19.875605945,44112,0.129425320,0.248243303,0.054214480,0.008547009
5,37.6,-0.4,3.049590136,45862,0.078011364,0.142393375,0.040840336,0
520,47.203846154,0.028846154,18.474811906,43537,0.153903432,0.295189673,0.047965538,0.012532982
511,47.144814090,-0.068493151,19.398568967,44691,0.156007400,0.293878179,0.061807005,0.025659134
1216,45.341282895,-0.003289474,16.641248954,43015,0.137828473,0.254088525,0.049138420,0.018886502
145,53.510344828,0.179310345,18.965288922,44425,0.242931480,0.405115610,0.131051933,0.142241379
4,34.75,0,16.680827318,45836,0.069010417,0.144583333,0,0
603,46.351575456,-0.006633499,15.889541160,44321,0.126597117,0.239688934,0.037069435,0.007709251
76,52.263157895,-0.210526316,19.636271487,43326,0.205702807,0.373591423,0.100795568,0.043103448
3,47,0,17.088007491,45770,0.086277174,0.194074074,0.019047619,0
209,46.578947368,0.215311005,18.898889285,45237,0.130844582,0.255609034,0.045629707,0.022260274
9,37.888888889,0.111111111,9.479510067,45634,0.129546370,0.276809117,0.035714286,0
18,58.277777778,0.222222222,17.217656996,43977,0.243853228,0.453650794,0.115873016,0.058823529
90,49.533333333,-0.2,19.175241528,44875,0.175936213,0.324033625,0.079349518,0.076086957
78,54.115384615,-0.102564103,17.231035703,44216,0.168154173,0.328053765,0.069666792,0.028985507
8,43.25,-0.625,16.568041526,43066,0.318779904,0.580319549,0.150128284,0.25
18,45.222222222,-0.111111111,18.154745144,43432,0.165569243,0.309125465,0.074470899,0.020833333
68,49.485294118,-0.294117647,17.810354733,45660,0.163323858,0.330180564,0.057758168,0.004716981
313,50.520766773,0.102236422,19.577599953,44515,0.215733343,0.382202071,0.103601074,0.010233918
15,42.333333333,-0.133333333,13.952299691,45064,0.339746443,0.455576313,0.101886634,0
71,48.352112676,-0.112676056,16.379515597,44028,0.210678007,0.382654114,0.098463576,0.080508475
8,48.375,-0.125,16.826318670,43760,0.150891426,0.287149123,0.066502463,0
1,27,0,,43151,0.285714286,0.583333333,0.0625,
6,68.5,0,9.974968672,44045,0.325520833,0.593333333,0.161904762,0.083333333
145,45.793103448,0.131034483,20.133890911,44132,0.154741331,0.293190535,0.058771721,0
101,37.574257426,0.168316832,14.900568133,43608,0.092095200,0.177600531,0.021771942,0
51,48.960784314,-0.176470588,17.007011242,43315,0.234040166,0.427615022,0.109346836,0.064583333
705,42.517730496,0.036879433,16.764835203,45240,0.067995306,0.135958882,0.015598311,0.003880266
12,47.083333333,-0.083333333,18.322655293,45767,0.079730550,0.184583333,0.011904762,0
634,35.154574132,0.181388013,13.910618067,43212,0.114354360,0.228206246,0.038345333,0.005747126
34,46.676470588,-0.235294118,18.680277378,45383,0.175190034,0.334349102,0.074709662,0.054347826
122,43.508196721,0.114754098,18.179202494,44110,0.117709125,0.228135856,0.039757325,0.003378378
16,46.8125,-0.5,17.989696125,45880,0.198821605,0.376833194,0.086804097,0
911,48.013172338,-0.031833150,17.702853869,45140,0.156854921,0.287166500,0.058465261,0.015357143
99,48.020202020,0.090909091,18.781764820,44055,0.140315783,0.253327824,0.061010101,0.108695652
6,48.833333333,-0.666666667,14.538454755,43754,0.285625,0.518787879,0.133333333,0.15
557,44.412926391,-0.034111311,16.601498748,45342,0.118511135,0.228507103,0.035996872,0.014705882
5,43,-0.2,12.884098727,43157,0.206065226,0.427038462,0.069428571,0
544,45.213235294,0.102941176,17.155193722,44135,0.088182706,0.172549825,0.031506178,0.001298701
8,55.75,-0.625,16.420805618,45841,0.28515625,0.47,0.162500000,0.035714286
28,48.178571429,0,21.802231574,45308,0.155942211,0.282549237,0.075510204,0.055555556
18,41.5,-0.111111111,14.130692502,43001,0.242857496,0.410811966,0.138741759,0.020833333
154,48.928571429,-0.051948052,17.411628277,44286,0.164690682,0.307545153,0.049684525,0.010504202
499,48.525050100,0.094188377,18.652521007,44512,0.143500323,0.262441614,0.064284656,0.006048387
85,52.4,0.176470588,19.902261178,44714,0.196376009,0.351889653,0.096235845,0.046875
854,47.086651054,0.019906323,17.744162979,43560,0.131673753,0.256231106,0.039160454,0.003328009
1,81,1,,45617,0.390625,0.76,0.171428571,0
14,44.571428571,-0.285714286,19.341920538,45118,0.089433331,0.192063492,0.020408163,0
19,55.421052632,0.157894737,16.644371052,43445,0.281085526,0.512280702,0.143130554,0.029411765
19,53.315789474,0.052631579,17.136875871,44099,0.253980983,0.475784157,0.116940933,0.033333333
1382,28.304630970,0.127351664,9.999230613,43201,0.116556994,0.217892812,0.029911321,0.014192140
18,52.888888889,-0.444444444,19.601587237,45877,0.246354167,0.461111111,0.104761905,0.066666667
26,46.692307692,-0.192307692,15.645495788,44847,0.176667190,0.310152007,0.094677198,0.065789474
244,42.352459016,-0.040983607,15.373764265,45050,0.105505173,0.204545091,0.026097716,0.025714286
36,50.5,-0.416666667,19.139338696,44681,0.259817674,0.468067981,0.132106782,0.043103448
366,47.415300546,0.106557377,19.621268466,44278,0.138099848,0.253292256,0.058385545,0.067822384
163,52.134969325,-0.049079755,18.396697012,44410,0.201439729,0.369530188,0.091802385,0.028409091
25,50.44,-0.24,19.797053653,45171,0.210139573,0.374552381,0.056398810,0.027777778
209,47.334928230,-0.038277512,18.446199711,43512,0.182927684,0.330949041,0.081882588,0.039473684
281,50.551601423,-0.177935943,18.914610923,44805,0.185876742,0.346516124,0.076999583,0.030092593
55,42.272727273,0.218181818,18.732477783,44307,0.099224913,0.200771074,0.027392977,0.030303030
106,47.839622642,-0.103773585,17.401771553,45669,0.111868301,0.215729518,0.034989036,0
6,61.333333333,-0.666666667,13.261473020,44638,0.296875,0.486666667,0.190476190,0.041666667
35,50.828571429,-0.114285714,16.484369984,44065,0.222907473,0.374929607,0.127212740,0.112068966
485,49.276288660,-0.140206186,17.303141723,45373,0.142621512,0.269280509,0.061128588,0.019333333
27,46.037037037,-0.111111111,15.430941647,44084,0.184389763,0.339118166,0.083930163,0.034090909
1,70,-1,,43721,0.484375,0.88,0.257142857,0
6,55,-0.166666667,20.765355764,45890,0.208512759,0.383174603,0.106597222,0
667,44.061469265,0.053973013,17.392245682,45231,0.107020629,0.210475217,0.036594246,0.011061947
8,48.75,0,27.048897522,44454,0.280730221,0.487386364,0.159204371,0
3,73,0.333333333,19,45776,0.3125,0.533333333,0.190476190,0
452,32.075221239,0.305309735,16.957847994,44074,0.203003275,0.313877229,0.079431834,0.067982456
18,41.777777778,0,16.909988540,44629,0.190879392,0.358946574,0.077711704,0.104166667
20,51.5,-0.25,19.113235976,45347,0.153849882,0.292044372,0.058791937,0.132352941
4,46.5,0,12.476644848,43735,0.0390625,0.1,0,0
229,52.021834061,0.091703057,19.198054866,43617,0.151167018,0.288152870,0.053509173,0.012784091
86,46.825581395,-0.139534884,18.830633278,45320,0.156533543,0.299659048,0.064597962,0.020161290
17,45.176470588,-0.117647059,17.959103869,43772,0.293933985,0.512759953,0.160033090,0.0625
28,55.607142857,0,14.234385300,44428,0.182203619,0.349904306,0.081972789,0
37,55.621621622,-0.270270270,22.064742302,44827,0.256676764,0.451413537,0.135227359,0.112068966
6,42.5,0,20.579115627,43029,0.228639069,0.320634921,0,0
11,51.818181818,-0.454545455,20.336264071,43014,0.231912879,0.399393939,0.129004329,0
397,45.430730479,-0.027707809,16.139491772,45039,0.131832857,0.244896173,0.048188812,0.026402640
297,37.484848485,0.121212121,13.333834962,45209,0.085621464,0.178862295,0.024199139,0.009740260
61,55.475409836,-0.196721311,15.758179418,44432,0.204849435,0.358920680,0.115463354,0.004464286
452,36.409292035,0.176991150,12.165641795,44113,0.086289023,0.170722126,0.031652126,0.005733945
631,42.416798732,0.172741680,16.473518043,43219,0.065588480,0.128804411,0.022038637,0.004146919
15,46,-0.4,18.295198433,45863,0.235269608,0.406333333,0.060487528,0
3,50,0,16.522711642,43456,0.197916667,0.386666667,0.085714286,0
2,48,-0.5,22.627416998,45620,0.1171875,0.22,0.057142857,0
15,53.066666667,0,18.877298031,44086,0.244265351,0.411180375,0.144473304,0
19,43.526315789,0.105263158,16.631190313,43723,0.156116898,0.311325760,0.053325616,0.057692308
755,43.921854305,0.037086093,17.143271658,43204,0.085375384,0.167129743,0.024826138,0.008183033
606,43.539603960,0.158415842,17.633296336,44102,0.091633556,0.176730879,0.035376693,0
238,49.478991597,-0.100840336,18.369323511,44601,0.171179955,0.327535558,0.067173294,0.047551789
22,48.727272727,0.045454545,20.333368817,45872,0.187808555,0.333244949,0.090336134,0.1
1,29,0,,43350,0,0,0,
19,53.315789474,-0.263157895,15.308141013,43107,0.255311955,0.452310146,0.128714835,0.143518518
5,35,-0.4,11.958260743,43548,0.389849291,0.526385965,0.135714286,0.125
9,59.222222222,0,14.906188126,44702,0.014477401,0.027439614,0.006734007,0
4,51.25,-0.75,26.849891372,43778,0.356097342,0.637179487,0.179411765,0
24,47.208333333,-0.25,17.062491705,45302,0.196157082,0.380693347,0.073881674,0.0375
41,52.585365854,0.048780488,18.462090361,44683,0.204040922,0.369572281,0.101880081,0.044117647
6,49.5,-0.166666667,22.915060550,44276,0.185185185,0.353333333,0.071428571,0.0625
2,60.5,-0.5,20.506096654,43126,0.3125,0.48,0.214285715,0.125
2,38.5,-0.5,21.920310217,44825,0.171875,0.34,0.071428571,0
19,46.894736842,-0.052631579,19.110482106,45167,0.123983542,0.242083998,0.046798029,0.041666667
85,52.329411765,-0.035294118,18.507005260,44905,0.141871379,0.274388077,0.056050420,0.033582090
1532,43.097258486,0.148825065,17.303237569,44310,0.043448571,0.083199254,0.014663310,0.004921260
623,47.804173355,0.003210273,17.151495822,44011,0.140171228,0.269108273,0.047308015,0.017171717
27,48.555555556,-0.259259259,18.009256879,43412,0.190911542,0.366741623,0.076575277,0
1253,49.099760575,0.114126097,18.160592846,44124,0.127673707,0.246233169,0.046768171,0.001519757
1407,45.633972992,0.090973703,17.509852867,43230,0.128048995,0.236303689,0.047209979,0.011928429
17,42.411764706,-0.235294118,11.900939162,43469,0.171952109,0.313168108,0.089279348,0
32,53.0625,0.03125,22.086249554,44452,0.237364037,0.378628472,0.095238095,0.020833333
1,36,0,,45778,0.103448276,0.272727273,0,0
367,50.376021798,-0.079019074,19.210091624,43302,0.149837192,0.284909486,0.060256291,0.008865248
150,43.246666667,0.246666667,16.946396606,45229,0.134721464,0.263949861,0.048907242,0.029702970
3,52.666666667,-0.333333333,15.885003410,43115,0.0625,0.146666667,0.009523810,0
3,76.333333333,1,2.516611478,43540,0.427083333,0.72,0.238095238,0.25
12,49.833333333,0.083333333,18.867159218,44826,0.140934180,0.314664855,0.030952381,0
9,44.555555556,0.111111111,12.258783699,43406,0.115046296,0.233768116,0.038095238,0
106,50.132075472,-0.028301887,18.416387874,45690,0.161433113,0.317395355,0.063720628,0.012048193
283,48.222614841,0.074204947,19.311461270,44017,0.170760061,0.307426434,0.073735066,0.025943396
10,53.1,-0.2,21.885814787,43773,0.221314484,0.425357143,0.091428571,0
7,41.857142857,-0.142857143,18.243067829,44032,0.154336735,0.315714286,0.044897959,0
2,47,0.5,38.183766184,45321,0.3578125,0.67,0.157142857,0.25
77,45.545454545,-0.064935065,17.651260172,43138,0.176008516,0.332915037,0.057771672,0.049107143
861,45.764227642,-0.012775842,17.563940935,43551,0.125870759,0.243924957,0.041244363,0.005307856
11,54.545454545,-0.636363636,17.778434331,44628,0.525184275,0.752727273,0.315776397,0.361111111
2,59,-1,12.727922061,45346,0.3359375,0.68,0.128571429,0
5,42.8,0.2,29.969984985,43734,0.304375,0.405333333,0.037012987,0
6,47.666666667,-0.166666667,14.486775579,45775,0.197916667,0.373333333,0.090476190,0.05
1,52,-1,,43323,0.390625,0.72,0.2,0
45,35.866666667,0.111111111,14.761128314,45232,0.094570881,0.172269288,0.035430746,0.0125
40,58.825,-0.25,17.429546826,44473,0.247050310,0.413876125,0.151367695,0.035714286
16,56.1875,-0.5625,14.325821675,43844,0.183007813,0.340869565,0.091176471,0
8,57.625,-0.5,21.030165409,43720,0.250887784,0.53,0.071428571,0
124,51.725806452,-0.209677419,19.542465210,45891,0.175204386,0.309265309,0.087120864,0.020202020
51,53.352941176,-0.235294118,17.908460045,44618,0.267355855,0.445893720,0.138981352,0.077380952
17,56.529411765,-0.294117647,17.948250775,44085,0.211702737,0.390259104,0.103116246,0.05
2,38,-0.5,21.213203436,45372,0.150520834,0.331428571,0.028571428,0
12,45.166666667,-0.333333333,13.422053314,43071,0.245847843,0.421964286,0.146428571,0.025
764,44.119109948,0.087696335,16.753011153,44221,0.086080224,0.172330659,0.029236001,0.002028714
17,53.235294118,-0.529411765,16.902401500,44064,0.226386493,0.432561589,0.104300544,0
423,45.768321513,-0.099290780,16.614909047,45036,0.160068272,0.281708316,0.067719202,0.040372671
14,41.142857143,-0.142857143,18.538347544,44411,0.124634297,0.241388889,0.053767959,0
45,57.288888889,-0.222222222,21.488498215,43910,0.326616636,0.530771605,0.185330688,0.194444444
12,41.083333333,-0.416666667,18.802602979,44804,0.277893093,0.389537037,0.138946111,0.071428571
166,52,0.132530120,19.230972493,44420,0.199020501,0.347384838,0.104178927,0.084645669
66,42.030303030,-0.030303030,17.326697672,45810,0.144996864,0.267867653,0.043622309,0.075
1,89,0,,45051,0.171875,0.32,0.085714286,0
15,45.866666667,0.133333333,13.458224605,45723,0.126407340,0.255301170,0.044597701,0.025
23,48.391304348,-0.217391304,19.782313337,44846,0.278456119,0.478985362,0.161246000,0.015625
13,45.384615385,0,24.026160955,45144,0.112461325,0.237004155,0.026373626,0
13,56.384615385,-0.230769231,20.826819494,43948,0.182291667,0.302692308,0.109890110,0.045454545
3,56.666666667,0,19.857828011,44093,0.346306818,0.567619048,0.209523810,0.166666667
1,27,0,,45899,0.12,0.181818182,0.071428571,
3,54.666666667,-0.333333333,9.291573243,45745,0.151041667,0.36,0.019047619,0
9,43.888888889,-0.333333333,19.029217302,43333,0.231930231,0.455696649,0.074882422,0
187,49.673796791,0.208556150,19.543046175,44446,0.184800417,0.316012491,0.099039930,0.087591241
72,33.125,0.208333333,14.991018438,45207,0.129105454,0.239079639,0.034760431,0.06
30,46.166666667,-0.466666667,15.058697414,43522,0.260536612,0.452844720,0.112643678,0.043478261
13,57.769230769,0.076923077,21.264813841,44672,0.150209325,0.276808409,0.073924482,0.027777778
43,53.860465116,-0.232558140,17.358381255,44287,0.150403055,0.299482126,0.056958256,0.027027027
10,53.2,0,15.774804102,43504,0.4078125,0.516,0.088888889,0.027777778
18,46.5,-0.222222222,15.259519690,44402,0.200025246,0.383853276,0.079960317,0.057692308
43,54.255813953,0,32.399362886,44813,0.191366199,0.381004838,0.069281715,0.030303030
592,47.148648649,-0.155405405,17.166789985,45840,0.146710841,0.256564766,0.071833692,0.040909091
616,49.540584416,0.040584416,19.099099089,44134,0.170983214,0.284416782,0.095115203,0.048520924
250,46.908,0.22,18.983070454,44137,0.145284605,0.269066968,0.063659825,0.004143646
2,60.5,0.5,7.778174593,45408,0.4140625,0.8,0.185714285,0
2,66.5,0,27.577164466,43937,0.2109375,0.38,0.1,0.125
164,51.292682927,-0.048780488,22.983850188,44721,0.216003600,0.388522359,0.102984009,0.097222222
56,48.017857143,-0.142857143,18.474051651,43571,0.182252980,0.363720845,0.064606512,0.011627907
2,30.5,0,3.535533906,43084,0,0,0,0
5,55,0.6,24.124676164,45766,0.35,0.64,0.142857143,0
781,49.914212548,0.061459667,19.042302848,45241,0.140645820,0.269968921,0.044471180,0.025519031
19,55.315789474,-0.315789474,13.383458412,43314,0.219742514,0.430047847,0.094736842,0
293,52.716723549,0.047781570,19.479484119,44708,0.180153412,0.322658674,0.077551273,0.058695652
13,47.538461538,-0.153846154,16.641391091,44251,0.215396017,0.324273504,0.066666667,0.15
78,50.858974359,-0.089743590,18.357718472,43558,0.200603232,0.366910867,0.094250970,0.061475410
3,49,0,12.124355653,45727,0.229071970,0.479365079,0.077083333,0
1,72,1,,44005,0.171875,0.4,0.028571429,0
366,46.172131148,0,17.659810866,44312,0.124385084,0.239897501,0.043110012,0.014687101
2,34,-0.5,14.142135624,45678,0.15625,0.36,0.028571428,0
195,48.184615385,-0.051282051,18.243676188,44903,0.144951190,0.274364643,0.054190849,0.028169014
1,42,0,,44659,0,0,0,0
129,50.062015504,-0.124031008,18.477076988,44044,0.218518341,0.391483830,0.081252100,0.020408163
5,49.6,-0.6,24.398770461,45317,0.281631098,0.473,0.165714286,0.166666667
14,49,-0.142857143,17.558692785,43150,0.251711309,0.410396825,0.085920330,0.083333333
42,47.5,-0.047619048,14.690713841,45174,0.167864396,0.337330749,0.064157049,0.006578947
14,46.714285714,-0.285714286,18.619380191,43517,0.183456003,0.368063812,0.066548358,0.027777778
55,58.527272727,0.018181818,20.270261510,43906,0.208247655,0.364503739,0.113073593,0.032608696
331,54.697885196,0.123867069,19.006361656,44514,0.249510626,0.422699555,0.136394284,0.013489209
9,42.888888889,-0.111111111,11.218783852,43360,0.129111436,0.232878788,0.063678805,0.0625
358,48.136871508,-0.108938547,18.277375255,45013,0.156908833,0.288119190,0.061390158,0.014492754
3,32.333333333,0.333333333,13.576941236,45788,0.399242424,0.463492063,0.042857143,0
407,29.412776413,0.164619165,11.017300945,45219,0.106616344,0.196190303,0.032610747,0.008620690
7,51.857142857,0,14.380873541,43067,0.183717237,0.362857143,0.075039246,0
25,50.52,0,17.800093633,44217,0.090048321,0.219281551,0.008000000,0
11,47.545454545,-0.727272727,18.123816576,44853,0.241864460,0.475101010,0.093506494,0.0625
10,47.6,-0.1,18.246460844,43464,0.229081349,0.391705628,0.02875817,0
33,52.393939394,-0.181818182,18.484688586,45628,0.196433728,0.366647427,0.071293290,0.064814815
24,51.125,-0.125,18.972090486,45123,0.188901991,0.378284161,0.063095238,0.0875
4,62.5,-0.5,16.901676445,43840,0.300905258,0.53,0.171638655,0
541,45.114602588,0.024029575,17.503380342,45236,0.135761074,0.258968441,0.041752020,0.015883377
11,49.090909091,-0.363636364,17.154909183,45771,0.133057268,0.253675889,0.048917749,0.064814815
10,58.7,-0.1,16.384613378,43730,0.234260671,0.44375,0.111428572,0
5,59.4,-0.4,20.501219476,44624,0.316,0.564363636,0.165714286,0.0625
1,68,-1,,45350,0.515625,0.84,0.285714286,0.5
35,48.542857143,-0.257142857,18.438040691,43025,0.233431820,0.405578231,0.097179781,0.046296296
19,44.526315789,-0.526315789,14.400495443,45325,0.296560731,0.498045113,0.175250627,0.057692308
106,47.632075472,-0.207547170,18.460937123,44667,0.170625708,0.297007905,0.070025120,0.053797468
1,22,0,,43142,0,0,0,
149,49.624161074,-0.248322148,17.593563208,45822,0.194048297,0.346068387,0.089748611,0.099576271
34,51.029411765,-0.235294118,16.087799432,43143,0.175990327,0.308441134,0.069171422,0.008620690
16,49.25,0.125,19.244046698,44666,0.206975446,0.423766234,0.055357143,0.020833333
537,45.474860335,-0.046554935,19.269200088,45324,0.112763860,0.208998183,0.041381052,0.009365994
1,62,0,,43768,0,0,0,0
1,66,0,,44690,0.1875,0.44,0.028571429,0
662,43.370090634,0.024169184,15.779701615,43119,0.087668819,0.172874602,0.024738794,0.012186380
2,62.5,1,6.363961031,43536,0.234375,0.48,0.085714286,0
5,55.4,0.6,7.635443668,44625,0.20625,0.4,0.062857143,0.25
15,38.6,0,18.094197965,43731,0.125587209,0.253064182,0.046995010,0
18,58.777777778,-0.111111111,18.916396733,44866,0.315516128,0.585892256,0.145543346,0.083333333
31,53.290322581,-0.064516129,19.031891741,43968,0.204389236,0.371057737,0.099539171,0.064814815
43,53.232558140,-0.116279070,17.167018780,43465,0.175567417,0.334831706,0.068804964,0.129901961
9,46.111111111,-0.111111111,15.870132675,45629,0.132523148,0.264615385,0.049206349,0
62,52.564516129,-0.290322581,17.000116651,45122,0.181331464,0.363135914,0.065472366,0.019230769
59,45.338983051,-0.237288136,17.140001780,44231,0.224818890,0.404808011,0.073334465,0.041666667
